incidente,data_inclusao,andamento_origem,and_complemento,tipo_questao_corrigido
1500278,19/09/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED - Agendado para: 05/10/2018.,RC
1500278,19/09/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED-segundos - Agendado para: 05/10/2018.,RC
1998224,27/11/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED - Agendado para: 07/12/2018.,RC
2028051,22/02/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED - Agendado para: 08/03/2019.,RC
2192346,02/04/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED-ED - Agendado para: 12/04/2019.,RC
2194197,20/11/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED - Agendado para: 30/11/2018.,RC
2194197,20/11/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED-segundos - Agendado para: 30/11/2018.,RC
2245826,18/02/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED - Agendado para: 01/03/2019.,RC
2261479,08/03/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 22/03/2019.,RC
2274174,05/11/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED-segundos-ED - Agendado para: 16/11/2018.,RC
2305753,27/11/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 07/12/2018.,RC
2315575,27/11/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED - Agendado para: 07/12/2018.,RC
2381737,04/06/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADPF-AgR - Agendado para: 14/06/2019.,RC
2381901,22/10/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADPF-AgR-ED - Agendado para: 02/11/2018.,RC
2498685,01/03/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 15/03/2019.,RC
2532603,07/05/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 17/05/2019.,RC
2592091,01/03/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED - Agendado para: 15/03/2019.,RC
2634038,22/04/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR-sétimo - Agendado para: 03/05/2019.,RC
